instancia, selectionSort, mergeSort
4096, 0.017064347, 5.65459E-4
4096, 0.016761852, 5.63442E-4
4096, 0.016440821, 5.63733E-4
4096, 0.017058115, 6.40636E-4
4096, 0.017499003, 6.6533E-4
4096, 0.017781383, 5.69354E-4
4096, 0.019482591, 6.15991E-4
4096, 0.01772548, 8.08584E-4
4096, 0.018467554, 6.93803E-4
4096, 0.018186251, 6.53839E-4
4096, 0.017721393, 6.12532E-4
4096, 0.017950431, 6.10424E-4
4096, 0.018352224, 6.47063E-4
4096, 0.018025043, 6.57065E-4
4096, 0.018418897, 6.55583E-4
4096, 0.018455303, 6.5294E-4
4096, 0.019637359, 6.55908E-4
4096, 0.018256589, 6.49963E-4
4096, 0.018169861, 6.52963E-4
4096, 0.018370204, 6.46469E-4
4096, 0.018517068, 6.58553E-4
4096, 0.018209876, 6.57887E-4
4096, 0.01906472, 6.81477E-4
4096, 0.018178796, 6.48695E-4
4096, 0.018519367, 7.06541E-4
4096, 0.018935867, 7.29201E-4
4096, 0.019307628, 6.7067E-4
4096, 0.018833066, 6.69185E-4
4096, 0.019283864, 6.65646E-4
4096, 0.019116251, 8.23057E-4
4096, 0.018807775, 6.68775E-4
4096, 0.018795848, 6.69084E-4
4096, 0.019370322, 7.65935E-4
4096, 0.021435669, 6.75287E-4
4096, 0.020430772, 8.93682E-4
4096, 0.018906064, 6.7535E-4
4096, 0.018710413, 6.63947E-4
4096, 0.019016434, 7.60043E-4
4096, 0.019103668, 6.72286E-4
4096, 0.018985823, 6.68108E-4
4096, 0.019686, 7.20133E-4
4096, 0.034340607, 0.001127547
4096, 0.022091249, 7.35229E-4
4096, 0.023341514, 7.85785E-4
4096, 0.02210843, 7.19712E-4
4096, 0.020763934, 7.21586E-4
4096, 0.019745215, 7.12716E-4
4096, 0.019710043, 7.12413E-4
4096, 0.018753169, 6.30548E-4
4096, 0.018411065, 6.4695E-4
4096, 0.018803639, 6.97505E-4
4096, 0.018795272, 7.84632E-4
4096, 0.019146904, 6.5372E-4
4096, 0.018161385, 6.47901E-4
4096, 0.0183738, 7.2786E-4
4096, 0.018921668, 6.59065E-4
4096, 0.018375642, 6.4764E-4
4096, 0.018176141, 6.51966E-4
4096, 0.018200424, 6.50927E-4
4096, 0.018231797, 6.50843E-4
4096, 0.018494876, 6.50787E-4
4096, 0.019410935, 7.01547E-4
4096, 0.018444932, 6.49935E-4
4096, 0.018436647, 6.98224E-4
4096, 0.018343212, 6.47752E-4
4096, 0.018444642, 6.49532E-4
4096, 0.018479607, 6.51621E-4
4096, 0.01991469, 9.98447E-4
4096, 0.02061399, 6.69324E-4
4096, 0.021537394, 8.78395E-4
4096, 0.021695249, 8.38071E-4
4096, 0.020835233, 7.74308E-4
4096, 0.020389493, 7.40912E-4
4096, 0.018597743, 6.52188E-4
4096, 0.018214834, 6.49208E-4
4096, 0.019626963, 6.50249E-4
4096, 0.01911154, 6.97137E-4
4096, 0.019363385, 6.51561E-4
4096, 0.018951273, 7.88058E-4
4096, 0.018516921, 9.37073E-4
4096, 0.018772706, 6.56709E-4
4096, 0.018339666, 6.58984E-4
4096, 0.018529572, 6.68538E-4
4096, 0.018333402, 6.55182E-4
4096, 0.018481326, 6.59064E-4
4096, 0.01877807, 6.5458E-4
4096, 0.019016402, 6.56503E-4
4096, 0.018615165, 7.59868E-4
4096, 0.01942012, 6.58423E-4
4096, 0.021175089, 6.54654E-4
4096, 0.019415867, 6.84701E-4
4096, 0.019738345, 6.70225E-4
4096, 0.019282751, 7.2017E-4
4096, 0.019456047, 6.72905E-4
4096, 0.018604534, 6.71121E-4
4096, 0.018678749, 6.86458E-4
4096, 0.018811005, 6.74311E-4
4096, 0.018752242, 6.67586E-4
8192, 0.075851298, 0.001466222
8192, 0.07561324, 0.001536983
8192, 0.079709896, 0.00162061
8192, 0.082148389, 0.001687294
8192, 0.082940876, 0.001800215
8192, 0.078012149, 0.001442417
8192, 0.075076398, 0.001381274
8192, 0.075095284, 0.001386139
8192, 0.073228605, 0.001377572
